COM Author: Alex Hartford
COM Program: Emblem
COM File: Level

OBJ 1

ATL ruins.png

PRE prelude05.txt




MUS 13.wav

WDT 20
HGT 20
MAP 2 0 0 2 0 0 2 0 0 0 2 0 2 7 2 1 1 1 1 1 
MAP 2 5 5 5 2 2 0 0 0 0 0 0 0 2 2 2 1 1 1 1 
MAP 2 5 0 5 4 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 
MAP 2 5 5 5 2 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 
MAP 1 1 0 1 1 1 0 0 6 0 0 1 0 0 0 0 0 0 0 1 
MAP 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1 
MAP 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1 2 1 
MAP 0 0 0 0 0 1 0 6 0 6 0 1 0 0 1 0 0 0 0 1 
MAP 1 0 1 1 1 1 0 0 6 0 0 1 0 0 0 0 0 0 0 1 
MAP 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 
MAP 0 6 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 1 
MAP 0 0 0 1 0 2 2 2 2 2 0 1 0 0 1 0 0 8 0 1 
MAP 1 0 1 1 0 0 0 0 0 0 0 1 0 0 1 8 0 0 0 1 
MAP 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 
MAP 0 0 0 1 0 1 1 1 1 1 0 1 0 0 1 1 1 0 1 1 
MAP 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
MAP 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 
MAP 0 0 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 
MAP 0 0 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 1 1 1 
MAP 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 1 1 1 

COM <UNT <name> <col> <row> <ai> <boss>>
UNT Lucina 2 2 0 0 0 
UNT Priam 0 1 0 0 0 
UNT Vaike 2 0 0 0 0 
UNT Nowi 0 3 0 0 0 
UNT Severa 4 0 0 0 0 
UNT Stahl 5 1 0 0 0 
UNT Olivia 4 3 0 0 0 
UNT Brute 3 6 8 0 0 
UNT Brute 1 6 8 0 0 
UNT Brigand 8 4 7 0 0 
UNT Archer 9 7 6 0 0 
UNT Archer 7 7 6 0 0 
UNT Sniper 8 8 6 0 0 
UNT Thief 5 10 7 0 0 
UNT Thief 7 10 7 0 0 
UNT Thief 8 10 7 0 0 
UNT Thief 6 12 7 0 0 
UNT Thief 8 12 7 0 0 
UNT Diane 17 4 5 0 0 
UNT BowKnight 18 3 4 0 0 
UNT BowKnight 18 5 4 0 0 
UNT Bushido 18 9 7 0 0 
UNT Bushido 17 8 7 0 0 
UNT Bushido 18 7 7 0 0 
UNT Bushido 16 7 7 0 0 
UNT Bushido 16 9 7 0 0 
UNT Mage 1 10 7 0 0 

